"Text";"Id"
"RT @MKaruniasa: @asumsico Momentum Coldplay Indonesia. Konsep konser ramah lingkungan mesti mulai diterapkan di Indonesia. Tidak hanya urus…";"1660590573512986625"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660590409956102144"
"Cara Menang War Tiket Coldplay, Konser Musik Mahal Seharga 11 Juta

#KabarTrenggalek

https://t.co/EVt7K3In50 https://t.co/cQqTethsRX";"1660590369153875968"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660590360161312768"
"Emang gokil abang kita yang satu ini. Ngasih tiket konser Coldplay di daftar maskawinnya.

Hey jomblo, sabar ya bro.

https://t.co/abJP3KtTST";"1660590207580905472"
"OPEN JASA WAR / TITIP AESPA LIVE TOUR  2023 SYNK : HYPER LINE IN JAKARTA

slot jastip: ????

?? Data buyer / Data seller
?Book slot: 50K/tix

?tnc tertera di foto ! 
???? udah pernah secured tiket niki nicole tour & coldplay in jakarta ????

jastip jaswar konser
#zonauang https://t.co/GESUwQKlwX";"1660589873655615489"
"@recehtapisayng Mahar uang gak perlu, perlunya tiket konser coldplay";"1660589850742124547"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660589842189926402"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660589784916717568"
"wts! bantu jualin tiket konser coldplay punya temen ku

??  Ultimate Experience & CAT 4
?? Di bantu sampe fisik ya
?? Serious buyer only!
?? price dm aja
?? Jaminan ktp, Mou, dan surat kwitansi ya";"1660589736497676290"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660589657481175041"
"RT @adri_7i: Nah loh,,,
990 santri hamil, 
MUI ngga berniat ngomentari Qontol panji gumilang?..?
PA 2I2, MUI sibuk dgn konser Coldplay dan…";"1660589466493550592"
