,text_clean,text_preprocessed
390,com isu kampanye lgbt di konser coldplay ustaz derry sulaiman kalau berani berarti cari masalah,"['com', 'isu', 'kampanye', 'lgbt', 'konser', 'coldplay', 'ustaz', 'derry', 'sulaiman', 'berani', 'cari']"
391,mohon dengan sangat konser di indonesia kalo bisa minimal seminggu biar saya kebagian tiket,"['mohon', 'konser', 'indonesia', 'kalo', 'minimal', 'minggu', 'biar', 'bagi', 'tiket']"
392,tenang wiro sableng sekarang lagi fokus ke konser coldplay,"['tenang', 'wiro', 'sableng', 'fokus', 'konser', 'coldplay']"
393,viral seorang pria menikahi pasangannya menggunakan mahar tiket coldplay video itu berawal diunggah oleh akun instagram rhafafarrel  pasangan yang baru menikah dan menjadikan tiket konser coldplay sebagai mahar kawin adalah pasangan faridzkyab  tasyawd wah selamat ya,"['viral', 'pria', 'nikah', 'pasang', 'mahar', 'tiket', 'coldplay', 'video', 'unggah', 'akun', 'instagram', 'rhafafarrel', 'pasang', 'meni', 'jadi', 'tiket', 'konser', 'coldplay', 'mahar', 'kawin', 'pasang', 'faridzkyab', 'tasyawd', 'selamat', 'ya']"
394,pas konser bp di gbk banyak yang mendadak jualan tiket tau gitu gausah cape ikutan war mana lebih murah pula keknya entar coldplay juga begitu santai aja para sobat yang kalah war,"['pas', 'konser', 'bp', 'gbk', 'dadak', 'jual', 'tiket', 'tau', 'gitu', 'gausah', 'cape', 'ikut', 'war', 'murah', 'kek', 'entar', 'coldplay', 'santai', 'aja', 'sobat', 'kalah', 'war']"
395,viral di media sosial pasangan menikah dengan mas kawin tiket konser coldplay,"['viral', 'media', 'sosial', 'pasang', 'meni', 'mas', 'kawin', 'tiket', 'konser', 'coldplay']"
396,pas konser coldplay mc nya chit chat sama chris martin kenapa bandnya namanya coldplay mas chris,"['pas', 'konser', 'coldplay', 'mc', 'nya', 'chit', 'chat', 'chris', 'martin', 'bandnya', 'nama', 'coldplay', 'mas', 'chris']"
397,misal nih misal di setlist konser coldplay ada my universe boleh gasih gw bayar rb buat nonton perform lagu itu doang,"['nih', 'setlist', 'konser', 'coldplay', 'my', 'universe', 'gasih', 'gw', 'bayar', 'rb', 'nonton', 'perform', 'lagu', 'doang']"
398,trus habis konser coldplay selesai nikahnya masih lanjut,"['trus', 'habis', 'konser', 'coldplay', 'selesai', 'nikah']"
399,ada yg nikah mas kawinnya tiket coldplay alhamdulillah nanti calonku ngga kesulitan kalau aku minta mahar semua merch official bts dan tiket konser soalnya cuma halu nikah sama btstwt,"['yg', 'nikah', 'mas', 'kawin', 'tiket', 'coldplay', 'alhamdulillah', 'calon', 'ngga', 'sulit', 'mahar', 'merch', 'official', 'bts', 'tiket', 'konser', 'halu', 'nikah', 'btstwt']"
400,wtb tiket konser coldplay cat  untuk  tiket harga wajar hit me up     ,"['wtb', 'tiket', 'konser', 'coldplay', 'cat', 'tiket', 'harga', 'wajar', 'hit', 'me', 'up']"
401,soal coldplay konser di indonesia terus jadi perbincangan terutama masalah simbol lgbt,"['coldplay', 'konser', 'indonesia', 'bincang', 'simbol', 'lgbt']"
402,nah yang sekarang lagi rame banget apa   apa lagi kalo bukan konser coldplay  dari cerita war tiket ngamuk sama calo sampe,"['rame', 'banget', 'kalo', 'konser', 'coldplay', 'cerita', 'war', 'tiket', 'ngamuk', 'calo', 'sampe']"
403,dateng pas hari h bang biasanya ada calo yang ngedump konser lainnya si biasanya begitu tp gatau kalo coldplay,"['dateng', 'pas', 'h', 'bang', 'calo', 'ngedump', 'konser', 'si', 'tp', 'gatau', 'kalo', 'coldplay']"
404,seru bet dah kelas gue wkkwkw vibesnya jd kea konser coldplay beneran,"['seru', 'bet', 'dah', 'kelas', 'gue', 'wkkwkw', 'vibesnya', 'jd', 'kea', 'konser', 'coldplay', 'beneran']"
405,apakah war tiket konser kamu lebih sulit dr coldplay,"['war', 'tiket', 'konser', 'sulit', 'dr', 'coldplay']"
406,baru kali ini segininya nyari tiket konser demi coldplay nih demi si mamacul yang ceritanya ngefans berat,"['kali', 'gin', 'nyari', 'tiket', 'konser', 'coldplay', 'nih', 'si', 'mamacul', 'cerita', 'ngefans', 'berat']"
407,promo kode referral pinjaman online pinjolpayleter ojk kredivo dpt  andrhnq point ditukar voucherbelanja di tokopedia lazada gojek apple ibox erafone grab vivo oppo samsung blibli digimap reddoorz mcd kfc lazada zalora cgvtiket konser coldplayhotelpesawatbioskop,"['promo', 'kode', 'referral', 'pinjam', 'online', 'pinjolpayleter', 'ojk', 'kredivo', 'dpt', 'andrhnq', 'point', 'tukar', 'voucherbelanja', 'tokopedia', 'lazada', 'gojek', 'apple', 'ibox', 'erafone', 'grab', 'vivo', 'oppo', 'samsung', 'blibli', 'digimap', 'reddoorz', 'mcd', 'kfc', 'lazada', 'zalora', 'cgvtiket', 'konser', 'coldplayhotelpesawatbioskop']"
408,pengen denger langsung a sky full of stars doang aslinya tuh pas konser coldplay   sama fix you deng  tapi a sky full of stars aja gpp,"['ken', 'denger', 'langsung', 'a', 'sky', 'full', 'of', 'stars', 'doang', 'asli', 'tuh', 'pas', 'konser', 'coldplay', 'fix', 'you', 'deng', 'a', 'sky', 'full', 'of', 'stars', 'aja', 'gpp']"
409,wtb tiket konser coldplay cat  untuk  tiket harga wajar hit me up,"['wtb', 'tiket', 'konser', 'coldplay', 'cat', 'tiket', 'harga', 'wajar', 'hit', 'me', 'up']"
410,polisi incar penipu tiket konser coldplay di medsos,"['polisi', 'incar', 'tipu', 'tiket', 'konser', 'coldplay', 'medsos']"
411,promo kode referral pinjaman online pinjolpayleter ojk indodana luqug tips acc kontak darurat akan dikirim sms link verifikasikliksetuju belanja di tokopedia mcd alfamart apple ibox samsung erafone eiger airpaz ikeapulsatokentiket konser coldplaypesawathotelbioskob,"['promo', 'kode', 'referral', 'pinjam', 'online', 'pinjolpayleter', 'ojk', 'indodana', 'luqug', 'tips', 'acc', 'kontak', 'darurat', 'kirim', 'sms', 'link', 'verifikasikliksetuju', 'belanja', 'tokopedia', 'mcd', 'alfamart', 'apple', 'ibox', 'samsung', 'erafone', 'eiger', 'airpaz', 'ikeapulsatokentiket', 'konser', 'coldplaypesawathotelbioskob']"
412,tentang waiting room yang disewa sama loket buat konser coldplay dan niki  menurut kalian gimana,"['waiting', 'room', 'sewa', 'loket', 'konser', 'coldplay', 'nik', 'gimana']"
413,kemenkes mengimbau masyarakat yang akan menonton konser coldplay pada november nanti untuk melakukan booster vaksin covid terlebih dahulu itu perlu dilakukan guna menghindari penularan virus corona di kerumunan saat menonton konser,"['kemenkes', 'imbau', 'masyarakat', 'tonton', 'konser', 'coldplay', 'november', 'booster', 'vaksin', 'covid', 'hindar', 'tular', 'virus', 'corona', 'kerumun', 'tonton', 'konser']"
414,km gabisa nonton konser coldplay dong bis,"['km', 'gabisa', 'nonton', 'konser', 'coldplay', 'bis']"
415,ini yg  bilang coldplay gak cocok konser di indo  heh  lu orang jual harga x lipat terus jual di luar negeri juga bakal dikeroyok,"['yg', 'bilang', 'coldplay', 'gak', 'cocok', 'konser', 'indo', 'heh', 'lu', 'orang', 'jual', 'harga', 'x', 'lipat', 'jual', 'negeri', 'keroyok']"
416,wts want to sell jual tiket konser coldplay   festival tix over price dm serious buyer only  diurus sampai fisik  vc proof  ktp  bisa cod bandung     trusted hasil war sendiri,"['wts', 'want', 'to', 'sell', 'jual', 'tiket', 'konser', 'coldplay', 'festival', 'tix', 'over', 'price', 'dm', 'serious', 'buyer', 'only', 'urus', 'fisik', 'vc', 'proof', 'ktp', 'cod', 'bandung', 'trusted', 'hasil', 'war']"
417,orangorang kok pada punya uang ya buat beli tiket coldplay pada kerja dimana dan punya usaha apa sih  hasilin uang tambahan dari bisnis dropship buat nambahin beli tiket konser yuk mulai bisnis dropship dengan gabung jadi mitra jakmall klik,"['orangorang', 'uang', 'ya', 'beli', 'tiket', 'coldplay', 'kerja', 'mana', 'usaha', 'sih', 'hasilin', 'uang', 'tambah', 'bisnis', 'dropship', 'nambahin', 'beli', 'tiket', 'konser', 'yuk', 'bisnis', 'dropship', 'gabung', 'mitra', 'jakmall', 'klik']"
418,cerita rijki budiman berbisnis jastip tiket konser coldplay,"['cerita', 'rijki', 'budiman', 'bisnis', 'jastip', 'tiket', 'konser', 'coldplay']"
419,meskipun war tiket coldplay sudah selesai ada masalah yang belum rampung dan tuntas,"['war', 'tiket', 'coldplay', 'selesai', 'rampung', 'tuntas']"
